var1	var2	cor	statistic	p	method
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	0.45	1793.5474118080474	0.0178	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	-0.39	4568.394564064779	0.0417	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_TCF1p	-0.49	4890.246393406519	0.00902	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_TCF1n	0.49	1661.753606593481	0.00902	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	0.62	1239.6891840299425	5.39e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	0.44	1840	0.0232	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	-0.46	4791.231280056305	0.0151	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1p	-0.57	5137.999999999999	0.00235	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	0.4	1965.5999389126466	0.0387	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1n	0.57	1414.0000000000002	0.00235	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn	-0.65	5420.3273032612005	2.12e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp	0.59	1330.0000000000002	0.00134	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn	0.47	1748.0000000000002	0.0151	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	0.4	1977.801847186083	0.0407	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	0.59	1346.7055186609816	0.00123	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	0.65	1135.3464650939416	2.19e-4	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	0.53	1530	0.00476	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2	0.39	2002.0000000000002	0.0459	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2	0.39	1988.606962885936	0.0426	Spearman
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	0.42	1512.790901219572	0.0375	Spearman
