parameter	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
LN_CD3p_CD8p_TCM_KI67p_UNS	aIL10+aPD1	groupControl	0.39725	1.276676556585077	0.3111594694450923	0.7583660351665684	1	-1
LN_CD3p_CD8p_TCM_SLAMF6p_UNS	aIL10+aPD1	groupaIL10	0.031000000000000073	0.38970783088408795	0.0795467720771064	0.937257303707433	1	-1
LN_CD3p_CD8p_TCM_SLAMF6p_UNS	aIL10+aPD1	groupControl	0.0822499999999999	0.41334757484945833	0.19898507939705573	0.8439505507214171	1	-1
LN_CD3p_CD8p_TEM_CD39p_GAG	aIL10+aPD1	groupaIL10	0.5120000000000001	3.672514288522886	0.13941402531776956	0.8902863149551197	1	-1
LN_CD3p_CD8p_TEM_CD39p_GAG	aIL10+aPD1	groupControl	-2.4642500000000007	3.895289636128533	-0.6326230473709216	0.5329614213062133	1	-1
LN_CD3p_CD8p_TEM_CX3CR1p_GAG	aIL10+aPD1	groupaIL10	-4.2599999999999945	4.266792315858208	-0.9984080978507043	0.3280420948815097	0.9841262846445291	-1
LN_CD3p_CD8p_TEM_CX3CR1p_GAG	aIL10+aPD1	groupControl	-3.8299999999999987	4.525616670686989	-0.8462935062104154	0.4057485547357145	0.9841262846445291	-1
LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	aIL10+aPD1	groupaIL10	0.018536258865930248	0.06296060741198305	0.2944104199096769	0.7709757464198461	1	-1
LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	aIL10+aPD1	groupControl	0.05980139263131618	0.06677980867295583	0.8955011075905384	0.3794133485322492	1	-1
LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	0.1949999999999994	2.0871581563558754	0.09342847325976696	0.9263387564566024	1	-1
LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-1.9492499999999995	2.213765528652078	-0.8805133040385097	0.38731385383170436	1	-1
LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	aIL10+aPD1	groupaIL10	5.449999999999996	12.315556243842096	0.4425297479133394	0.6620685576381959	0.6620685576381959	-1
LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	aIL10+aPD1	groupControl	13.925000000000006	13.06262000115761	1.0660189149470758	0.2970222707298655	0.594044541459731	-1
LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	aIL10+aPD1	groupaIL10	1.2999999999987024	435.06559952822886	0.0029880551379111117	0.9976405792154026	0.9976405792154026	-1
LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	aIL10+aPD1	groupControl	-529.1500000000001	461.45675353110215	-1.1466946706292716	0.2628119396256994	0.5256238792513988	-1
MIP3b	aIL10+aPD1	groupaIL10	-0.8180162566366168	6.195065338197477	-0.1320432008348483	0.8960508875127519	1	-1
MIP3b	aIL10+aPD1	groupControl	0.01003250680194722	6.570859065799754	0.0015268181377020818	0.9987943962182103	1	-1
MSD_Cluster_1	aIL10+aPD1	groupaIL10	-0.1909146077706936	0.1422336902440309	-1.342260103377341	0.19207204229721417	0.5762161268916425	-1
