ID_merge	ID	Group	Wk Post-TX	weeks post-ATI	IL10 Pr (pg/ml)
RKq17_aIL10+aPD1_8	RKq17	aIL10+aPD1	8	-4	296.8151260504202
RWs17_aIL10+aPD1_8	RWs17	aIL10+aPD1	8	-4	648.4117647058824
RYk17_aIL10_9	RYk17	aIL10	9	-3	618.6088939566705
RYk17_aIL10_9	RYk17	aIL10	9	-3	488.1641961231471
RHm17_aIL10_9	RHm17	aIL10	9	-3	235.84948688711518
RHm17_aIL10_9	RHm17	aIL10	9	-3	328.8939566704675
34897_aIL10_9	34897	aIL10	9	-3	567.5256556442417
34897_aIL10_9	34897	aIL10	9	-3	665.678449258837
RFn17_aIL10_9	RFn17	aIL10	9	-3	1235.8038768529077
RFn17_aIL10_9	RFn17	aIL10	9	-3	959.5895096921323
RVm17_aIL10_9	RVm17	aIL10	9	-3	261.7559863169897
RVm17_aIL10_9	RVm17	aIL10	9	-3	242.05245153933868
RVc17_aIL10_9	RVc17	aIL10	9	-3	310.0196248196248
34920_aIL10_9	34920	aIL10	9	-3	735.6088504088505
34930_aIL10_9	34930	aIL10	9	-3	395.4453102453102
RGr17_aIL10_9	RGr17	aIL10	9	-3	223.43953823953825
RZp17_aIL10_9	RZp17	aIL10	9	-3	209.5867243867244
RFl17_aIL10+aPD1_9	RFl17	aIL10+aPD1	9	-3	497.6510832383124
RFl17_aIL10+aPD1_9	RFl17	aIL10+aPD1	9	-3	602.7366020524515
RYm17_aIL10+aPD1_9	RYm17	aIL10+aPD1	9	-3	1526.431014823261
RYm17_aIL10+aPD1_9	RYm17	aIL10+aPD1	9	-3	1292.3603192702396
RNy16_aIL10+aPD1_9	RNy16	aIL10+aPD1	9	-3	1296.5564424173317
RNy16_aIL10+aPD1_9	RNy16	aIL10+aPD1	9	-3	888.9851767388825
RRh17_aIL10+aPD1_9	RRh17	aIL10+aPD1	9	-3	813.8198403648802
RRh17_aIL10+aPD1_9	RRh17	aIL10+aPD1	9	-3	974.7320410490307
RIb17_aIL10+aPD1_9	RIb17	aIL10+aPD1	9	-3	505.31356898517674
RIb17_aIL10+aPD1_9	RIb17	aIL10+aPD1	9	-3	627.1835803876853
34918_aIL10+aPD1_9	34918	aIL10+aPD1	9	-3	2123.968638768639
RBf17_aIL10+aPD1_9	RBf17	aIL10+aPD1	9	-3	359.27407407407406
RBv17_aIL10+aPD1_9	RBv17	aIL10+aPD1	9	-3	409.29812409812416
RKq17_aIL10+aPD1_9	RKq17	aIL10+aPD1	9	-3	655.1855699855698
RWs17_aIL10+aPD1_9	RWs17	aIL10+aPD1	9	-3	1301.2654160654163
RYk17_aIL10_11	RYk17	aIL10	11	-1	380.70695553021665
RHm17_aIL10_11	RHm17	aIL10	11	-1	598.358038768529
34897_aIL10_11	34897	aIL10	11	-1	998.4492588369442
RFn17_aIL10_11	RFn17	aIL10	11	-1	204.46978335233752
RVm17_aIL10_11	RVm17	aIL10	11	-1	178.56328392246294
RVc17_aIL10_11	RVc17	aIL10	11	-1	236.9075517075517
34920_aIL10_11	34920	aIL10	11	-1	629.7887445887445
34930_aIL10_11	34930	aIL10	11	-1	468.5573833573834
RGr17_aIL10_11	RGr17	aIL10	11	-1	144.170658970659
RZp17_aIL10_11	RZp17	aIL10	11	-1	241.52515632515633
RFl17_aIL10+aPD1_11	RFl17	aIL10+aPD1	11	-1	263.21550741163054
RYm17_aIL10+aPD1_11	RYm17	aIL10+aPD1	11	-1	2014.2759407069557
RNy16_aIL10+aPD1_11	RNy16	aIL10+aPD1	11	-1	1785.1311288483466
RRh17_aIL10+aPD1_11	RRh17	aIL10+aPD1	11	-1	563.5119726339794
RIb17_aIL10+aPD1_11	RIb17	aIL10+aPD1	11	-1	499.47548460661346
34918_aIL10+aPD1_11	34918	aIL10+aPD1	11	-1	1093.0884078884078
RBf17_aIL10+aPD1_11	RBf17	aIL10+aPD1	11	-1	650.9527657527657
RBv17_aIL10+aPD1_11	RBv17	aIL10+aPD1	11	-1	430.0773448773449
RKq17_aIL10+aPD1_11	RKq17	aIL10+aPD1	11	-1	521.6598364598365
RWs17_aIL10+aPD1_11	RWs17	aIL10+aPD1	11	-1	1298.9566137566137
RYk17_aIL10_12	RYk17	aIL10	12	0	544.5381984036488
RHm17_aIL10_12	RHm17	aIL10	12	0	295.87229190421897
34897_aIL10_12	34897	aIL10	12	0	548.1870011402508
RFn17_aIL10_12	RFn17	aIL10	12	0	200.82098061573546
RVm17_aIL10_12	RVm17	aIL10	12	0	338.0159635119726
RVc17_aIL10_12	RVc17	aIL10	12	0	488.56700336700334
34920_aIL10_12	34920	aIL10	12	0	452.0109668109668
34930_aIL10_12	34930	aIL10	12	0	555.9070707070707
RGr17_aIL10_12	RGr17	aIL10	12	0	258.84117364117367
RZp17_aIL10_12	RZp17	aIL10	12	0	509.73102453102456
RFl17_aIL10+aPD1_12	RFl17	aIL10+aPD1	12	0	216.6932725199544
RYm17_aIL10+aPD1_12	RYm17	aIL10+aPD1	12	0	2868.4606613454957
RNy16_aIL10+aPD1_12	RNy16	aIL10+aPD1	12	0	1040.0456100342076
RRh17_aIL10+aPD1_12	RRh17	aIL10+aPD1	12	0	543.6259977194983
RIb17_aIL10+aPD1_12	RIb17	aIL10+aPD1	12	0	604.5610034207526
34918_aIL10+aPD1_12	34918	aIL10+aPD1	12	0	1191.9821067821067
RBf17_aIL10+aPD1_12	RBf17	aIL10+aPD1	12	0	290.01000481000483
RBv17_aIL10+aPD1_12	RBv17	aIL10+aPD1	12	0	521.6598364598365
RKq17_aIL10+aPD1_12	RKq17	aIL10+aPD1	12	0	1441.7175565175567
RWs17_aIL10+aPD1_12	RWs17	aIL10+aPD1	12	0	1585.2481000481
RYk17_aIL10_14	RYk17	aIL10	14	2	442.7618243243244
RHm17_aIL10_14	RHm17	aIL10	14	2	911.0050675675676
34897_aIL10_14	34897	aIL10	14	2	760.6672297297297
RFn17_aIL10_14	RFn17	aIL10	14	2	488.70777027027026
RVm17_aIL10_14	RVm17	aIL10	14	2	338.70777027027026
