animal	group	A*01Status	year	WkPost-TX	WkPost-ATI	parameter	value
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_MFI_TCF1_UNS	10459
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_KI67p_UNS	4.88
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TCM_GRZBp_UNS	5.98
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TCM_KI67p_UNS	5.01
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	2.05
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_IFNGp_GAG_UNS	5.6875
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_IL2p_GAG_UNS	5.760869565217391
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	6.6
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_TNFAp_GAG_UNS	3.5000000000000004
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	1.1518691588785046
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_IFNGp_GAG_UNS	12.515151515151514
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	1.1181619256017505
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	1.4048140043763675
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_KI67p	1.56
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_TEM	0.025
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_CD25p	4.14
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_KI67p	2.15
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4_CD95pCD28nTEM	1.43
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_Naive_TNFAp_GAG	0.04
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	1906
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_TCM_CD39p_GAG	3.8
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_TEM_ID2p_GAG	36.3
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_CD39p_UNS	6.11
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_Naive_KI67p_UNS	2.13
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	2554
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD8p_TCM_CD69p_UNS	3.41
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_CD39p_GAG_UNS	1.3747954173486088
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_CD69p_GAG_UNS	0.8017241379310346
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_KI67p_GAG_UNS	0.7890855457227138
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	0.7361111111111112
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD8p_IFNGp_GAG_UNS	1.469387755102041
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD8p_TBETp_GAG_UNS	1.065625
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD8p_TNFAp_GAG_UNS	3.0833333333333335
